route_distance_km,traffic_index,weather,vehicle_age_years,package_weight_kg,priority,warehouse_delay_hr,stop_count,weekend,delivery_time_hr
12.2,69.14461616734256,Storm,7,1.61,Standard,0.8910906066686295,6,0,7.85
28.7,40.4785651562292,Rain,6,3.72,Express,0.0,9,1,5.36
37.5,24.531730920803135,Clear,8,4.37,Express,0.41047395550501675,10,1,5.06
28.3,65.0746085034056,Clear,5,6.28,Standard,1.1620471513112722,10,0,6.91
24.4,58.375698119451314,Clear,2,2.95,Express,1.1107249873300207,6,0,3.32
22.1,73.07877942573637,Rain,3,1.79,Standard,1.654816025002861,6,0,7.93
20.2,42.39033709582831,Clear,1,10.41,Express,0.7156492592436728,6,1,5.2
43.4,68.6821307726145,Clear,7,3.73,Standard,0.0,12,0,7.81
30.6,73.9794180199494,Rain,2,1.61,Standard,1.5397113015429746,8,0,6.49
21.1,53.28442502111169,Clear,5,2.93,Standard,1.8052625423274111,8,0,7.17
17.9,62.504731058766694,Clear,5,2.09,Standard,1.4287712009993605,5,0,5.09
35.3,61.87539623543371,Storm,1,6.52,Standard,0.6854564303997561,7,0,7.62
42.9,40.2135484774663,Clear,5,4.34,Standard,1.5310702363136053,11,1,9.39
41.0,64.55973884112294,Clear,6,2.41,Express,3.2002373346057498,10,0,9.21
16.3,84.20497013621825,Clear,5,5.69,Standard,0.880606620108333,6,1,6.65
22.0,55.39967082176746,Clear,4,2.77,Standard,0.0,6,0,4.32
20.0,28.703351104270165,Clear,8,2.89,Standard,0.3896004653134937,5,1,5.15
23.5,42.62992244354783,Rain,3,1.75,Standard,1.2378332002128356,7,1,6.79
38.8,22.970269920670702,Clear,5,1.74,Standard,0.0,10,0,4.42
49.6,78.22470032282916,Rain,8,9.98,Express,0.9185821524384487,11,1,9.55
31.2,68.7538953339057,Rain,8,5.52,Standard,1.066235655221118,8,0,9.53
18.3,45.97535310997927,Clear,4,0.69,Standard,1.8745852178688565,5,0,7.31
25.5,29.474921404559144,Clear,2,1.47,Express,1.7171363992380102,8,0,5.86
54.3,40.000690751635176,Clear,5,1.25,Standard,1.4052093542262396,13,0,8.21
27.1,43.511014617451345,Rain,6,3.12,Standard,0.0,11,0,5.83
22.1,56.969336782361054,Rain,2,2.23,Express,1.4447371896335475,7,0,5.04
23.1,56.36366817757084,Clear,8,7.34,Standard,1.2938593702421723,6,1,6.76
31.1,79.14577555672665,Rain,8,2.38,Standard,0.9791610639548426,12,0,7.66
16.6,42.530412561435234,Clear,7,9.36,Express,0.0,6,0,5.91
19.8,27.852618621629283,Rain,5,2.83,Standard,0.2562582635690578,7,0,6.4
40.7,34.17438744743875,Clear,1,10.63,Standard,0.0,11,0,7.28
30.7,54.58555261996298,Clear,4,2.61,Express,0.0,9,0,3.47
27.3,41.88379479497577,Rain,4,2.64,Standard,0.7979593940096439,8,0,6.93
41.7,49.74384618076554,Clear,1,5.44,Standard,0.24152451499005434,9,1,6.44
17.7,46.82739555425001,Clear,3,4.95,Express,2.637713906188238,6,0,4.34
21.8,72.82429216669328,Clear,8,1.1,Express,0.6818596423934633,4,0,4.38
30.2,44.4346176323382,Clear,7,3.18,Standard,1.7056272091061722,8,1,6.68
29.7,48.207842614939416,Clear,6,2.22,Standard,0.0,7,0,4.16
11.6,67.91110446085796,Storm,4,2.11,Express,0.42893728979659124,5,0,5.25
20.7,44.83032560142263,Clear,2,3.17,Express,0.8678285132240202,7,0,3.66
23.8,62.617822740226316,Clear,8,2.45,Standard,0.16429223597463083,7,1,5.55
31.9,60.966734716391656,Rain,6,3.39,Standard,0.5044595206366791,9,1,7.41
29.6,57.55178546129943,Clear,4,1.42,Standard,0.647434365629523,7,1,4.37
24.9,34.58086511128319,Clear,7,0.91,Express,0.6362644101885739,7,0,4.98
8.5,77.13593604139487,Rain,3,5.58,Express,2.0985830011247426,5,0,5.61
25.6,94.97230833849605,Rain,7,6.13,Express,1.064758399802057,9,1,7.26
26.8,55.1589064888131,Clear,2,5.36,Express,1.1356573940589123,6,0,4.85
78.1,36.165612279333246,Rain,7,3.07,Standard,1.1777583420415494,15,0,10.41
23.4,55.52384874985041,Clear,6,2.32,Standard,1.2288384641359789,6,1,7.28
30.3,72.81748253054798,Storm,8,1.91,Express,0.7419791112875943,10,0,7.96
45.2,43.92662183711907,Clear,2,1.67,Express,0.5754775399648078,13,0,5.95
37.7,52.679814685872586,Rain,8,2.83,Standard,0.9167712416627942,8,1,8.2
50.7,61.131774455418544,Clear,1,6.03,Standard,1.6097627642394308,13,0,8.95
11.7,76.65486133970664,Storm,5,1.8,Express,1.5883667319054686,7,0,7.26
15.0,68.95762719560874,Rain,1,6.04,Standard,0.6317210670181123,6,1,5.09
19.1,69.70362345158071,Rain,6,0.95,Standard,1.337490586267678,8,1,7.02
10.7,47.32716597982434,Clear,5,3.51,Standard,0.6637907358722326,6,0,5.28
26.9,62.23454119313061,Clear,1,4.0,Standard,0.823709384604671,6,0,8.45
15.6,42.004660111747675,Clear,5,2.06,Standard,0.4685336329120619,5,1,3.6
54.0,70.21946979793381,Rain,4,1.35,Express,0.6728484027656366,13,0,7.9
16.9,75.72195353414105,Clear,7,5.12,Standard,1.7389310486847762,6,0,6.35
21.8,64.96054423790721,Storm,2,3.09,Standard,0.8646948031374655,8,0,9.19
38.8,48.38660943769332,Rain,5,12.62,Standard,0.8946977559866226,10,1,8.71
13.0,51.332911695251234,Clear,4,6.09,Express,0.0,1,1,3.79
10.3,87.51729179191616,Rain,7,6.12,Express,0.5835292646570893,2,0,4.12
28.5,48.687211996777066,Clear,7,0.4,Express,0.63107956737869,4,1,4.1
29.6,73.89989501411023,Clear,3,1.83,Express,0.21959956018961646,8,1,4.83
38.2,61.10004876793339,Clear,8,1.23,Standard,0.8151657881924945,10,0,7.43
33.8,48.98554392772283,Clear,1,0.59,Standard,0.49957239684064203,9,0,4.25
30.2,30.79631750555035,Rain,3,2.92,Standard,0.8559970986705076,7,0,6.62
17.9,58.80880685059312,Clear,8,5.04,Standard,0.8850521068732541,7,1,6.38
29.2,56.639815598910204,Clear,8,1.45,Express,0.13097194952414903,9,0,4.59
30.1,87.517624086268,Rain,6,0.61,Standard,0.5209087522617675,6,0,7.23
17.6,39.51653148239503,Rain,4,1.54,Express,0.8541619979325835,3,0,3.08
61.6,96.30583464786012,Clear,3,2.69,Standard,1.6290096018097078,14,0,10.31
33.0,61.81858953093868,Rain,3,2.55,Standard,0.9797034209570183,11,1,7.45
15.1,61.80092598199884,Clear,8,3.02,Standard,0.3366453740578007,8,0,5.8
38.3,44.32470158021986,Clear,7,3.95,Standard,1.0793033314706966,11,1,7.88
41.6,60.66471353598044,Clear,4,2.97,Standard,1.9952842225252323,9,0,7.7
32.0,63.51491670819783,Clear,7,5.22,Standard,1.441694530812313,10,0,7.15
22.8,71.87189125277578,Rain,2,1.47,Standard,1.183268571304934,6,1,7.44
17.2,37.39020026334502,Clear,5,2.48,Standard,1.307913122837625,4,0,5.75
24.9,80.3220554041847,Rain,6,4.38,Standard,1.8079678290000414,4,0,7.42
30.9,61.50547942789563,Clear,6,3.62,Standard,1.5529387558123622,8,1,6.65
26.1,65.94812011553162,Clear,1,8.69,Standard,1.1967322667823606,6,0,7.25
51.8,51.02303929291431,Storm,7,1.52,Standard,1.5480495537130594,13,0,9.37
35.5,38.29343251097709,Rain,5,4.43,Standard,0.04284423261515746,6,0,5.07
16.2,56.30904329325917,Clear,8,1.9,Standard,0.0,5,0,3.24
14.3,58.37131989681793,Clear,1,1.75,Standard,0.9099690554506812,1,1,4.0
33.1,30.062291173939165,Clear,6,5.86,Standard,0.8480764967553769,10,1,5.99
23.0,69.27913729297225,Clear,5,2.95,Standard,0.41926296254071976,7,0,3.8
37.0,72.93744341013846,Rain,3,3.58,Standard,1.3780968688793966,9,1,7.79
33.0,41.86603677121972,Rain,2,2.0,Standard,0.0,9,1,6.6
25.0,36.59346369510236,Clear,8,2.09,Express,0.42565942075953744,6,0,2.89
16.3,49.546695216262584,Storm,3,0.9,Standard,0.4605311185856696,5,0,5.75
10.9,55.43011174575339,Clear,2,3.39,Standard,0.0,5,0,4.98
29.0,50.24492182152399,Clear,8,1.37,Express,1.846311705088513,3,1,5.71
12.9,53.9034790101259,Clear,7,2.72,Standard,0.0,4,1,4.52
15.9,58.98659855816649,Clear,4,5.21,Standard,0.38816195988461993,5,0,4.02
28.1,30.371159102938677,Clear,1,0.71,Standard,1.4355858304635936,7,1,7.25
26.7,32.44067870854123,Clear,1,14.7,Standard,1.252231740400112,10,0,7.37
13.7,10.0,Clear,4,1.72,Express,0.02427771246067756,3,0,1.43
44.0,71.96581411216249,Clear,5,2.77,Standard,1.2777424464824456,10,1,9.13
43.4,55.27408637111409,Rain,4,3.57,Standard,1.0028491350607553,8,0,7.62
33.6,73.86132036637282,Clear,7,1.68,Standard,2.433124893478027,11,0,8.38
33.6,34.520716075394944,Clear,6,2.14,Standard,1.082758291247813,8,0,5.72
33.6,55.43933211159692,Rain,4,5.98,Standard,0.7011307252520278,8,0,7.15
41.4,58.86687711009883,Storm,2,4.86,Standard,0.20044863001640423,10,0,8.8
35.9,44.88791509305973,Storm,6,2.51,Express,0.27902964313110024,10,0,7.46
17.0,27.03829962759773,Clear,4,3.0,Express,0.22196163317228934,6,1,2.89
22.9,86.42568405043282,Clear,1,3.3,Standard,1.7597691697383455,11,1,7.04
73.7,80.18710014286091,Clear,3,4.3,Express,0.8125789405115295,17,0,8.56
8.8,48.12521910894343,Clear,2,4.51,Standard,1.195672986782311,3,0,3.38
20.1,64.18409761305293,Storm,7,4.43,Standard,1.8599733199866209,5,0,7.64
44.1,46.27376782557592,Clear,2,2.24,Express,0.0,10,0,4.89
17.5,37.082735145554544,Clear,8,3.23,Express,1.6952116352902624,3,0,5.26
36.4,87.89070708922625,Clear,5,5.58,Express,0.838777838248334,9,0,7.21
26.6,25.203360134695572,Clear,3,10.39,Standard,1.104533860148311,8,0,4.85
18.2,49.86093345451993,Rain,2,3.17,Standard,0.22011774477622426,5,0,4.72
8.0,56.51782889036021,Clear,8,2.03,Express,0.2714129210860372,2,0,1.8
28.6,84.72225841637115,Clear,4,1.66,Standard,1.1421921228690914,10,0,6.72
16.8,71.13859577624834,Clear,2,4.45,Standard,2.4692184602320286,3,1,6.73
24.4,24.899504057788263,Clear,2,0.87,Standard,1.502319318970431,4,1,5.58
33.5,54.95049566138472,Clear,2,4.48,Express,1.685866044992978,7,0,5.96
39.8,55.37908357055847,Clear,5,4.53,Standard,0.6655991108170062,8,1,5.65
20.1,50.88990996461004,Clear,2,2.08,Standard,0.37985704279006033,7,0,3.6
18.2,66.15656393554542,Rain,2,3.52,Standard,0.25343653389470466,5,0,5.29
12.7,29.636075300392413,Storm,5,2.57,Standard,0.45820839271231845,4,1,6.35
40.7,47.64455357433994,Rain,8,1.06,Express,0.0,12,0,4.86
68.4,63.61873746783536,Storm,6,4.27,Standard,0.29255645997587876,15,0,9.85
43.0,67.23236233289154,Clear,3,4.03,Standard,0.4077527907581099,12,0,6.98
47.7,57.68955052316554,Clear,8,2.2,Standard,0.6772492779236113,14,1,7.05
17.6,49.808940394594615,Clear,7,10.29,Standard,0.8922250768231043,5,0,5.07
32.5,52.841057074723494,Rain,6,3.01,Standard,1.0537156080379275,10,1,7.63
38.1,68.32732820279027,Storm,1,0.66,Standard,0.789552239289928,9,1,8.28
4.1,55.61021411425828,Rain,5,5.77,Standard,0.39298983956007016,4,0,4.33
14.7,36.246744182070486,Clear,5,4.95,Standard,0.0,3,0,3.13
55.9,32.79704348899174,Storm,2,5.32,Express,0.3972839741187447,11,0,8.36
11.5,28.186526414150034,Clear,2,1.43,Express,0.11928455361909651,4,0,1.27
51.5,81.20045473280837,Clear,7,3.46,Standard,1.1262467237950227,11,0,8.53
11.5,69.534313041024,Clear,1,2.98,Standard,1.4365011776855856,4,1,5.18
15.0,53.08321810275015,Clear,2,2.66,Express,1.4569997469419573,5,0,4.25
32.8,46.83173526704649,Clear,4,6.74,Standard,1.329866915289474,10,1,8.42
26.9,44.66925985658756,Clear,2,3.04,Standard,0.7065319851832583,7,0,5.72
21.1,74.67826793647978,Clear,2,2.26,Express,0.43463110416687234,5,1,5.22
54.8,89.27980314714534,Clear,4,2.24,Standard,0.2770280724330537,12,0,8.24
12.9,44.1029273693043,Rain,1,1.35,Standard,0.0,3,0,3.82
23.9,75.49147937180277,Rain,4,3.24,Standard,1.4942975903555005,5,1,7.3
34.9,55.504232476460004,Clear,5,7.06,Standard,0.6777022734490179,7,0,6.37
30.0,51.176279261611604,Rain,4,2.39,Express,0.0,8,0,4.17
18.5,82.07585709093863,Rain,3,3.59,Standard,0.22145603700283578,5,0,5.66
18.8,54.81701702663002,Clear,5,2.63,Standard,0.19311858049721353,7,0,5.0
39.5,60.33455990658344,Clear,2,2.83,Express,0.8301171395105887,8,1,5.32
40.4,59.46893079240603,Clear,7,5.09,Express,1.54722749574948,9,1,7.52
30.4,25.739211400129868,Clear,5,1.33,Standard,0.5564073152830918,11,0,4.69
16.4,60.19140067688911,Rain,1,0.93,Standard,0.0,4,0,4.32
19.2,44.87154356007581,Rain,1,5.78,Standard,0.667573765388756,5,0,5.29
25.7,29.419243477378817,Clear,4,2.04,Express,0.6906642699319631,5,1,3.52
27.6,45.69153255192228,Rain,5,2.28,Standard,0.6425558383451349,5,1,5.83
34.2,45.543000346534974,Rain,2,11.67,Standard,0.3607771834670089,11,1,8.97
23.3,73.53788570434595,Rain,1,4.93,Standard,0.9522073565080897,7,0,6.74
39.0,35.851786910163426,Clear,6,1.58,Standard,0.8462987806043013,10,0,5.83
38.8,40.78274609711342,Rain,2,6.03,Standard,0.7826187801113471,7,0,7.38
48.6,59.236988689864226,Clear,6,5.0,Standard,1.088848953010076,12,0,7.89
26.2,31.135712115623544,Clear,3,0.26,Standard,0.4991170237965026,9,1,5.76
30.6,43.137878351817996,Clear,6,3.32,Standard,0.4593900312095428,10,0,5.02
24.2,25.039418764002,Clear,8,1.38,Standard,1.76608630270978,8,1,6.31
16.5,71.56020628009713,Rain,1,2.82,Standard,1.1915487868008052,4,0,4.85
67.6,49.57546383207666,Clear,4,10.41,Standard,1.3788622426599597,16,1,10.89
45.5,54.71347878995964,Clear,3,5.23,Express,1.658273209733848,12,0,6.16
38.4,71.48818575623963,Clear,5,5.68,Standard,1.16816092643736,7,0,7.94
25.8,41.999160094230035,Rain,2,2.63,Standard,1.4498720753953198,5,0,6.88
15.8,49.384233844335924,Clear,1,5.69,Standard,0.0,6,1,5.22
41.8,35.98609601249665,Rain,3,1.77,Standard,0.942907710397219,12,0,7.36
24.0,35.94693302207538,Clear,3,3.29,Standard,0.6720970767299708,4,1,4.34
32.0,38.42950790789418,Clear,8,5.07,Standard,1.9743788636298665,10,0,7.13
19.1,46.13517296499403,Clear,1,4.97,Express,1.44935187226231,6,0,5.82
29.4,48.073680384884824,Clear,5,0.98,Standard,0.3586883664447742,9,1,6.62
19.7,60.195378716170836,Clear,5,9.03,Standard,1.0609559109704443,5,0,6.5
20.1,38.95809493524581,Clear,4,1.53,Standard,0.9173769334144679,7,0,4.32
29.2,60.753388166514576,Storm,7,12.97,Express,1.11803200320656,9,0,10.67
11.4,63.7300232474181,Clear,6,5.17,Standard,0.08681027143774378,4,1,4.28
11.7,46.57920070901921,Clear,5,4.89,Express,1.0520115256667577,4,0,4.12
17.5,40.51495769646914,Clear,8,1.63,Standard,0.640294055498236,5,0,5.43
23.2,56.531422575639816,Rain,4,2.11,Express,0.9977148348389203,9,0,4.99
39.6,51.347485665811995,Clear,6,8.58,Express,0.29293038441448127,10,0,6.89
23.8,58.96633292692382,Clear,3,7.89,Express,0.39045578002238046,5,0,5.06
25.7,83.2575958526794,Rain,1,2.68,Standard,1.6216894142566918,6,0,7.24
22.2,56.235466871698875,Clear,5,2.53,Standard,0.06391670916188741,7,1,4.3
30.6,43.49384989695763,Clear,4,2.58,Standard,0.1155719192705662,9,0,4.45
16.5,38.96398698504294,Clear,3,6.06,Express,0.7638931199490954,3,1,4.43
24.5,39.660370636211496,Clear,5,5.69,Standard,0.2596767373698319,10,1,4.93
31.8,28.670206471999826,Clear,2,3.87,Standard,0.18047995741604095,9,1,5.53
29.1,71.78938495022042,Clear,7,3.32,Standard,0.8735531798458065,9,0,6.96
26.1,14.800981251596241,Clear,3,2.66,Standard,0.0,7,0,4.55
26.3,63.7858867189475,Clear,8,12.33,Standard,0.0944264355604536,7,1,6.39
33.4,39.37484967984585,Clear,8,1.06,Standard,2.2378669080465503,8,0,8.11
69.2,45.77670613676588,Storm,5,2.3,Standard,1.1216325412783064,17,0,12.63
17.0,38.836222452201,Rain,8,3.7,Standard,0.27740565341106227,5,1,6.08
70.2,81.02556387355655,Rain,3,0.91,Express,1.0927505547863379,17,0,8.63
16.6,55.29368083034398,Clear,1,2.01,Express,1.1971313338906406,5,0,3.55
7.5,69.22681345077135,Clear,1,10.33,Express,1.4960900940631667,4,0,5.19
19.5,78.4094834547281,Clear,7,5.45,Standard,0.7109907793802888,5,1,6.59
30.9,57.941298532403266,Clear,1,2.0,Express,1.4835483919410226,10,0,5.53
61.9,33.47877212460618,Storm,6,1.95,Standard,0.0,13,1,9.86
15.8,51.028430497916105,Clear,2,1.07,Standard,0.06058430866697295,5,0,3.28
33.3,41.63953575580835,Clear,1,2.2,Standard,0.914709981215519,8,0,5.68
12.3,45.93692508602862,Clear,8,4.33,Standard,1.030743472965454,4,0,4.64
60.8,53.2967717323128,Clear,2,3.86,Standard,0.1617523986319508,15,0,7.42
45.9,52.58519844233924,Clear,1,2.28,Express,0.9815939938842114,11,0,5.48
20.1,62.417964898365156,Clear,6,1.51,Standard,0.3633118259189178,8,0,6.29
49.6,65.03147728804876,Clear,8,2.64,Standard,0.6061286340409842,11,1,9.09
24.4,52.58538682720376,Rain,3,2.6,Standard,1.5173416604655077,7,0,7.22
47.1,62.26244052594251,Clear,5,5.01,Standard,1.4362562478220198,10,0,9.19
26.0,45.11152261116205,Rain,5,3.5,Standard,0.10205777084571632,8,0,6.38
26.6,78.66603686073707,Rain,1,3.19,Standard,0.05992397658592763,7,1,6.52
20.4,44.820796812082364,Clear,5,6.4,Express,0.5121786231126786,6,0,3.23
35.4,76.5493567232037,Rain,1,7.85,Standard,0.7812775891789524,11,0,8.17
27.6,28.43079234810901,Clear,1,3.83,Standard,0.33947105799768146,7,1,4.78
33.6,48.15266936660477,Storm,8,3.89,Standard,1.5284497099597676,10,0,8.68
10.8,49.0423928749551,Clear,7,2.77,Express,1.0431728891959886,3,0,2.47
48.0,60.021852305472535,Clear,4,1.61,Express,1.0842595769121004,12,0,6.87
54.0,70.51270245793883,Clear,4,5.27,Standard,0.0,11,1,8.12
27.5,32.510886344928494,Clear,7,4.63,Standard,1.617103502168646,7,0,5.62
66.7,35.05630524322767,Storm,4,2.92,Standard,0.0,15,0,9.14
58.9,29.765654781107717,Clear,2,3.51,Express,1.3838388162945583,17,1,9.01
35.8,78.76331554957152,Rain,4,6.13,Express,1.4540182163695397,9,0,7.24
49.9,60.3568889703482,Clear,1,6.79,Standard,0.497319168905427,14,1,8.49
43.5,35.48131824777179,Storm,6,0.41,Standard,1.6910371520731966,11,0,9.2
9.4,47.02429226879073,Clear,6,1.9,Express,0.7558317129319575,3,0,3.33
22.5,76.2717051219069,Clear,3,2.92,Standard,0.8437021923292101,9,0,5.21
37.1,49.99385385439771,Clear,8,1.34,Standard,1.0376701511829514,10,0,6.68
55.8,48.930613519758886,Rain,4,3.57,Standard,3.0306024382677386,12,0,10.96
11.9,40.936659277184944,Clear,6,1.97,Standard,1.7411037356581032,5,0,5.29
9.7,36.55013835126227,Clear,4,3.65,Express,1.2907918404990426,4,0,3.65
25.2,76.29982858797682,Clear,8,2.02,Standard,0.16103685937916357,4,1,5.71
7.8,85.13022859735709,Rain,3,2.08,Standard,0.9005128778356446,5,0,7.17
24.7,37.26650074982774,Clear,6,3.63,Standard,0.23081313430752948,9,1,7.44
31.3,80.28896192592616,Clear,1,5.41,Standard,1.375477593097969,11,1,7.49
15.4,46.22699050677811,Clear,2,4.45,Standard,0.8983268830143998,6,1,3.57
25.1,64.60566391663997,Rain,7,2.93,Standard,0.012834824270273382,7,1,6.88
41.5,80.38384848665935,Storm,7,0.71,Standard,0.8567872083929521,12,0,9.6
19.5,52.38862127733462,Clear,7,2.04,Standard,0.20540777119858622,7,1,5.83
16.8,49.09704543518754,Clear,4,1.89,Express,0.905851354936283,8,1,4.7
24.5,69.41945734818734,Clear,6,4.81,Standard,0.19864587854432048,7,1,6.08
14.6,35.020848933347516,Clear,8,3.34,Standard,0.819241343352569,5,0,5.49
64.2,75.64710480112774,Clear,8,3.42,Express,1.3253289033545663,14,1,10.26
26.4,57.570569063966495,Rain,6,1.67,Standard,0.7628636056524257,8,1,5.9
17.7,44.60049085322482,Clear,3,6.96,Express,0.526378212979328,3,1,3.69
29.0,44.12498314031462,Storm,1,3.4,Standard,0.9422933547402238,9,0,7.77
24.4,30.097674787089414,Clear,5,1.59,Express,1.2880278345549971,8,0,4.54
23.1,45.34890100076819,Rain,6,1.68,Express,0.024971711082767745,7,1,4.61
19.5,50.24732028410078,Clear,2,3.74,Standard,0.9824593082936418,6,0,5.39
19.0,35.89671642919333,Clear,3,1.55,Express,1.7222785733121797,8,0,5.29
10.9,54.18163042967792,Clear,6,1.9,Express,1.2015598742937006,5,1,5.64
49.9,63.51250752145892,Clear,6,1.3,Standard,0.8404279026670596,11,0,7.75
34.7,51.15750155201046,Clear,3,4.78,Standard,1.2478162546892264,8,0,6.05
30.4,66.9290648773468,Rain,3,1.58,Standard,1.1167475192718777,7,0,6.7
24.2,40.471480306371944,Storm,4,7.68,Express,1.3275207764118697,8,0,7.84
15.3,73.06088975595893,Clear,6,4.05,Standard,0.0,4,0,4.78
17.1,57.19266470394744,Clear,5,1.29,Standard,0.0,7,0,4.28
11.6,82.81462905558539,Clear,2,4.43,Standard,1.503380404638266,6,0,7.4
18.2,98.4559116202972,Clear,1,6.97,Standard,0.0,4,0,4.79
14.2,46.535615338540936,Clear,1,2.85,Standard,1.0810770450034437,5,1,5.23
57.2,47.276850215773756,Rain,5,7.48,Standard,0.5535652407773959,13,0,11.07
40.1,50.567641804923085,Storm,8,4.1,Express,0.10266752808280233,11,0,7.33
27.0,65.72264050315927,Storm,3,1.98,Standard,1.0447548300032317,10,0,8.37
16.1,78.86745946855162,Clear,3,10.43,Standard,0.9407234526015995,3,1,6.06
14.6,43.24944728494354,Rain,8,1.05,Standard,2.2772398564674643,4,1,7.18
23.5,61.86239679660531,Rain,3,2.39,Standard,0.3626321568248776,6,0,5.02
40.9,52.55330878259619,Clear,8,2.93,Standard,1.8080770840484215,8,0,8.47
11.7,66.1259638457306,Clear,6,9.35,Standard,1.0466960400690202,4,0,6.18
34.4,82.17023848133843,Rain,8,4.86,Standard,0.33728468292010144,10,1,7.67
18.2,50.67409172620573,Clear,3,4.34,Standard,1.3594725202620717,5,0,6.07
19.9,24.942381999872847,Clear,3,1.76,Standard,1.1960169531177658,4,0,4.46
26.6,68.39023018384528,Clear,6,2.77,Standard,0.8250903064006345,12,1,7.7
16.4,40.011306065101856,Clear,8,2.01,Express,0.9864067495084364,6,1,3.62
22.8,52.423916734652,Clear,6,4.25,Standard,0.3821090782681279,7,0,5.49
15.7,69.16655506368905,Rain,5,6.28,Express,0.22194901232184527,3,1,5.85
19.0,60.35310736355994,Rain,4,11.91,Express,1.3316095216758081,6,0,6.88
37.8,53.16903954004519,Clear,6,2.17,Standard,0.6432424029807082,9,1,5.74
27.3,44.634129175750225,Clear,2,1.02,Standard,0.7439419012256353,5,0,4.51
37.7,10.0,Clear,3,2.42,Standard,0.9958751171609941,8,0,6.36
18.1,67.56977468361164,Clear,4,5.74,Standard,0.9857018413486658,7,0,6.79
34.6,50.44686941393625,Clear,1,1.61,Standard,0.0,12,0,4.85
10.2,82.24005301040306,Clear,5,3.01,Express,1.700376460518401,5,0,3.97
26.6,62.164504539313654,Clear,8,4.38,Standard,0.8848275063304748,9,0,6.2
35.7,45.259743294372825,Clear,4,2.2,Express,0.6581427160244955,9,0,4.53
10.0,74.20366159076872,Clear,6,3.5,Standard,1.1015922036188228,4,0,5.46
18.2,75.72032930724743,Clear,3,1.5,Express,0.9655795355304042,7,1,4.75
26.6,51.0574273416554,Clear,3,6.56,Standard,1.3369438826427915,10,0,6.32
42.4,76.4856075803181,Storm,3,2.55,Standard,1.176588570505659,12,0,10.6
19.0,45.00445500305115,Clear,4,3.43,Standard,1.3024923602973866,4,0,5.23
33.9,57.87365984934225,Rain,3,0.73,Standard,1.7456957340092611,9,0,7.88
51.5,65.28535097893806,Clear,6,1.35,Standard,1.4185371842796803,13,0,6.97
34.7,69.1260685122554,Clear,8,5.62,Express,0.6876596457700062,9,0,4.4
23.3,66.18739327508602,Storm,4,2.18,Standard,0.013969190746217164,7,0,5.71
31.3,49.0121707498629,Clear,3,1.55,Express,1.9674585531031605,9,0,5.46
18.7,74.68655753244595,Clear,1,0.96,Standard,0.6335936386570211,7,1,5.58
27.1,52.760308184084465,Clear,1,6.48,Express,0.4688248106476344,10,0,3.25
23.9,44.75750747904652,Clear,2,4.72,Standard,0.0,6,0,5.59
30.8,45.02191658836004,Rain,3,4.52,Standard,1.036931173718478,6,0,6.89
20.8,89.91979104657403,Clear,3,8.12,Express,0.9042206227676391,7,1,7.38
31.7,41.64429829434499,Clear,4,2.39,Standard,0.0,11,0,4.45
20.7,78.24943408168804,Clear,4,1.03,Standard,1.117291829493223,5,1,6.2
39.9,34.56159947541694,Clear,7,3.13,Standard,0.4512656555089927,11,0,6.33
21.8,63.78229801133536,Rain,8,9.09,Standard,2.6832205051020854,7,0,10.21
7.9,60.34750212683503,Rain,3,3.17,Standard,0.4014471655363923,4,1,4.99
